Measure Mode: wall_time
Thread ID: 70253057271520
Fiber ID: 70253062259540
Total: 2.880588
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        1   Pry::Config::Default#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Delegator>#public_api 
  0.00      0.000     0.000     0.000     0.000        1   Pry::PluginManager#gem_located? 
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::PluginHost#map 
  0.00      0.000     0.000     0.000     0.000        1   Pry::Hooks#hook_exists? 
  0.00      0.000     0.000     0.000     0.000        2   BasicObject#initialize 
  0.00      0.000     0.000     0.000     0.000        8   Kernel#kind_of? 
  0.00      0.000     0.000     0.000     0.000        1   Exception#backtrace 
  0.00      0.000     0.000     0.000     0.000        3   Enumerator#each 
  0.00      0.000     0.000     0.000     0.000        1   Enumerable#each_with_index 
  0.00      0.000     0.000     0.000     0.000        5   Regexp#== 
  0.00      0.000     0.000     0.000     0.000        1   Proc#arity 
  0.00      0.000     0.000     0.000     0.000        1   Module#initialize 
  0.00      0.000     0.000     0.000     0.000        1   Pry::CommandSet#import 
  0.00      0.000     0.000     0.000     0.000        1   Slop#extract_short_flag 
  0.00      0.000     0.000     0.000     0.000        2   Exception#to_s 
  0.00      0.000     0.000     0.000     0.000        1   Array#clear 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Delegator>#const_missing 
  0.00      0.000     0.000     0.000     0.000        1   Slop#clean 
  0.00      0.000     0.000     0.000     0.000        1   Array#shift 
  0.00      0.000     0.000     0.000     0.000        3   Array#[]= 
  0.00      0.000     0.000     0.000     0.000        1   Exception#exception 

* indicates recursively called methods
